id;level;section;heading;text;important;dependencies
Perf-88;2;23.2;Faceting;Ejecución de agregaciones con facetado complejo en <1 segundo;75;
Perf-89;1;24;Transacciones;;95;
Perf-90;2;24.1;ACID;Commit de transacciones críticas completado en ≤50ms;100;Perf-77
Perf-91;2;24.2;Compensación;Rollback completo de transacciones distribuidas en <5 segundos;85;
Perf-92;1;25;Geolocalización;;75;
Perf-93;2;25.1;Reverse Geocoding;Traducción coordenadas→dirección en ≤100ms por solicitud;80;
Perf-94;2;25.2;Proximidad;Búsqueda por radio de 5km completada en <300ms sobre 10M+ ubicaciones;70;
Perf-95;1;26;Testing;;85;
Perf-96;2;26.1;Load Testing;Simulación realista de 100k usuarios concurrentes;80;
Perf-97;2;26.2;Profiling;Identificación de cuellos de botella de CPU/memoria en ciclos de release;75;
Perf-98;1;27;CI/CD;;70;
Perf-99;2;27.1;Builds;Duración de construcción de artefactos <10 minutos por pipeline;75;
Perf-100;2;27.2;Deploy;Implementación de actualizaciones sin downtime observable;80;
Perf-101;1;28;Accesibilidad;;80;
Perf-102;2;28.1;Screen Readers;Renderizado completo para lectores de pantalla en ≤2 segundos;85;
Perf-103;2;28.2;Contraste;Procesamiento de ajustes dinámicos de contraste en ≤100ms;75;
Perf-104;1;29;Legacy Systems;;65;
Perf-105;2;29.1;Adapters;Latencia ≤500ms en comunicación con mainframes legacy;70;
Perf-106;2;29.2;Protocolos;Soporte para protocolos legacy con latencia ≤200ms por mensaje;60;
Perf-107;1;30;Configuración;;75;
Perf-108;2;30.1;Hot Config;Aplicación de cambios de configuración sin reinicio de servicios;80;
Perf-109;2;30.2;Feature Flags;Activación/desactivación de funcionalidades en runtime en <1 segundo;70;
Perf-110;1;31;Observabilidad;;90;
Perf-111;2;31.1;Métricas;Exposición de métricas en formato Prometheus cada <5 segundos;85;
Perf-112;2;31.2;Traces;Propagación de trazas mediante estándar W3C Trace Context;80;
Perf-113;3;31.2.1;Sampling;Muestreo adaptable basado en carga del sistema;75;
